question,question_code,class,full_text,match_from_partner_tool,partial_match
organisation_name,a1,character,Organization,,
governorate,a2,character,Governorate,,
district,a3,character,District,,
sub_district,a4,character,Sub District,,
community,a5,character,Town/Village,,
enumerator_id,a6,character,Enumerator Name/ID,,
date,a7,date,Date,,
respondent_sex,a8,character,Respondent Gender,,
head_of_household,a9,character,Head of HH?,,
idp_household,b1,character,We are an IDP household,,
returnee_household,b2,character,We are a returned household,,
host_community_household,b3,logical,We are a household from the host community,,
female_headed_household,b4,logical,My household is headed by a female,,
elderly_headed_household,b5,logical,My household is headed by an elderly (i.e. 60+ years old),,
injured_disabled_ill_household_head,b6,logical,"My household is headed by a member who is injured, with disability and/or is chronically ill",,
vulnerable_household_member,b7,logical,My household has at least one vulnerable member (i.e. elderly/ dependent/ person with injury/ person with disability /chronically ill),,
children_under_five,b8,logical,My household has more than one child under 5 years old,,
large_household,b9,logical,We are a large household (over 7 members),,
poor_shelter_conditions,b10,logical,My household lives in collective shelter/abandoned and/or damaged building/tent/tarp/under trees/cave or equivalent poor living situation,,
in_collective_shelter,b10.1,logical,NA,,
in_damaged_building,b10.2,logical,NA,,
in_makeshift_shelter,b10.3,logical,NA,,
no_income_generating_assets,b11,logical,"My household does not own any income-generating assets (assets that make money such as livestock that produce milk/cheese, machinery that produces items to sell)",,
hh_size,b12,integer,NA,,
was_assistance_appropriate,1.1,character,Was the assistance appropriate to meet your household needs?,,
why_not_appropriate,1.2,character,Would you please explain why do you consider the assistance as not appropriate? ,,
preferred_modality,1.3,character,"If you were to receive similar assistance in the future, what modality would you prefer the most?",,
modality_cash,1.3.1,logical,Cash,,
modality_paper_voucher,1.3.2,logical,Paper Voucher,,
modality_in_kind,1.3.3,logical,In-kind,,
modality_etransfer,1.3.4,logical,e-transfers,,
modality_other,1.3.5,logical,Other,,
modality_specify_other,1.3.99,character,"Other, please specify?",,
preferred_currency,1.4,character,In which currency do you prefer to receive the cash assistance?,,
currency_usd,1.4.1,logical,USD,,
currency_try,1.4.2,logical,TRY,,
currency_syp,1.4.3,logical,SYP,,
currency_any,1.4.4,logical,I don't mind,,
currency_received,1.5,character,NA,,
items_bought,2.1,character,What did your household spend the cash assistance on?,,
items_bought_fresh_food,2.1.1,logical,"Fresh food (meat, fruit, vegetables, dairy, eggs, bread..etc)",,
items_bought_dry_food,2.1.2,logical,"Dry/produced food (cereals, canned food,  oil, ghee, sugar, tea.. etc)",,
items_bought_cooking_fuel,2.1.3,logical,"Fuel for cooking (diesel, wood, gas, pomace etc)",,
items_bought_heating_fuel,2.1.4,logical,"Fuel for heating (diesel, wood, gas, pomace etc)",,
items_bought_hh_hygiene_items,2.1.5,logical,"Household & Personal Hygiene items (soap, dishwashing soap, detergents, shampoo, sanitary pads",,
items_bought_kitchen_utensils,2.1.6,logical,Kitchen utensils,,
items_bought_hh_appliances,2.1.7,logical,Household appliances,,
items_bought_clothes_blankets_bedding,2.1.8,logical,"Clothes, blankets, bedding",,
items_bought_communication,2.1.9,logical,"Communication (cell phone, internet)",,
items_bought_debt_repayment,2.1.10,logical,Debt repayment,,
items_bought_shelter_NFIs_improvement,2.1.11,logical,"Shelter (tents, plastic sheet/tarp, shelter repair/ improvements",,
items_bought_rent,2.1.12,logical,Rent,,
items_bought_transportation,2.1.13,logical,Transportation,,
items_bought_medical,2.1.14,logical,Medical treatment/Medicine,,
items_bought_water,2.1.15,logical,Water,,
items_bought_baby_needs,2.1.16,logical,"Baby needs (baby diapers, baby wipes, baby ointment, etc..)",,
items_bought_electricity_lighting,2.1.17,logical,"Electricity and lighting (electric bill, solar panels, batteries)",,
items_bought_education,2.1.18,logical,Education expenses,,
items_bought_savings,2.1.19,logical,Savings,,
items_bought_shared_assistance,2.1.20,logical,Shared assistance,,
items_bought_other,2.1.21,logical,Other,,
items_bought_specify_other,2.1.99,character,"Other, please specify?",,
three_items,2.2,character,What are the three things that your household spent most of the cash assistance on?,,
three_items_fresh_food,2.2.1,logical,"Fresh food (meat, fruit, vegetables, dairy, eggs, bread..etc)",,
three_items_dry_food,2.2.2,logical,"Dry/produced food (cereals, canned food,  oil, ghee, sugar, tea.. etc)",,
three_items_cooking_fuel,2.2.3,logical,"Fuel for cooking (diesel, wood, gas, pomace etc)",,
three_items_heating_fuel,2.2.4,logical,"Fuel for heating (diesel, wood, gas, pomace etc)",,
three_items_hh_hygiene_items,2.2.5,logical,"Household & Personal Hygiene items (soap, dishwashing soap, detergents, shampoo, sanitary pads",,
three_items_kitchen_utensils,2.2.6,logical,Kitchen utensils,,
three_items_hh_appliances,2.2.7,logical,Household appliances,,
three_items_clothes_blankets_bedding,2.2.8,logical,"Clothes, blankets, bedding",,
three_items_communication,2.2.9,logical,"Communication (cell phone, internet)",,
three_items_debt_repayment,2.2.10,logical,Debt repayment,,
three_items_shelter_NFIs_improvement,2.2.11,logical,"Shelter (tents, plastic sheet/tarp, shelter repair/ improvements",,
three_items_rent,2.2.12,logical,Rent,,
three_items_transportation,2.2.13,logical,Transportation,,
three_items_medical,2.2.14,logical,Medical treatment/Medicine,,
three_items_water,2.2.15,logical,Water,,
three_items_baby_needs,2.2.16,logical,"Baby needs (baby diapers, baby wipes, baby ointment, etc..)",,
three_items_electricity_lighting,2.2.17,logical,"Electricity and lighting (electric bill, solar panels, batteries)",,
three_items_education,2.2.18,logical,Education expenses,,
three_items_savings,2.2.19,logical,Savings,,
three_items_shared_assistance,2.2.20,logical,Shared assistance,,
three_items_other,2.2.21,logical,Other,,
three_items_specify_other,2.2.99,character,"Other, please specify?",,
available_in_market,3.1.1,character,"Since you received the cash assistance, have you been able to find the items/services you needed in the markets/shops? ",,
not_in_market_why,3.1.2,character,Why were you not able to find the items/services you needed in the markets/shops?,,
not_in_market_why_specify_other,3.1.99,character,"Other, please specify?",,
items_not_in_market,3.2,character,What items/services you needed but were not able to find in the markets/shops DURING REDEMPTION PERIOD?,,
items_not_in_market_fresh_food,3.2.1,logical,"Fresh food (meat, fruit, vegetables, dairy, eggs, bread..etc)",,
items_not_in_market_dry_food,3.2.2,logical,"Dry/produced food (cereals, canned food,  oil, ghee, sugar, tea.. etc)",,
items_not_in_market_cooking_fuel,3.2.3,logical,"Fuel for cooking (diesel, wood, gas, pomace etc)",,
items_not_in_market_heating_fuel,3.2.4,logical,"Fuel for heating (diesel, wood, gas, pomace etc)",,
items_not_in_market_hh_hygiene_items,3.2.5,logical,"Household & Personal Hygiene items (soap, dishwashing soap, detergents, shampoo, sanitary pads",,
items_not_in_market_kitchen_utensils,3.2.6,logical,Kitchen utensils,,
items_not_in_market_hh_appliances,3.2.7,logical,Household appliances,,
items_not_in_market_clothes_blankets_bedding,3.2.8,logical,"Clothes, blankets, bedding",,
items_not_in_market_communication,3.2.9,logical,"Communication (cell phone, internet)",,
items_not_in_market_shelter_NFIs_improvement,3.2.11,logical,"Shelter (tents, plastic sheet/tarp, shelter repair/ improvements",,
items_not_in_market_medical,3.2.14,logical,Medical treatment/Medicine,,
items_not_in_market_water,3.2.15,logical,Water,,
items_not_in_market_baby_needs,3.2.16,logical,"Baby needs (baby diapers, baby wipes, baby ointment, etc..)",,
items_not_in_market_electricity_lighting,3.2.17,logical,"Electricity and lighting (electric bill, solar panels, batteries)",,
items_not_in_market_other,3.2.18,logical,Other,,
items_not_in_market_specify_other,3.2.99,character,"Other, please specify?",,
currency_spent,3.3,character,In which currency did your household spend cash in the past month?,,
challenges_spending,3.4.1,character,Did you face any challenges while exchanging and/or spending cash in the past month?,,
challenges_spending_list,3.5,character,What challenges did you face while exchanging and/or spending cash in the past month?,,
challenges_spending_money_exchange,3.5.1,logical,Problems accessing money exchange shop / FSP,,
challenges_spending_security,3.5.2,logical,Security problems on the journey to the market,,
challenges_spending_damaged_banknotes,3.5.3,logical,Damaged banknotes are not accepted,,
challenges_spending_weather,3.5.4,logical,Restricted access due to weather conditions,,
challenges_spending_overcrowding_shops,3.5.5,logical,Overcrowding in the shop,,
challenges_spending_vendor_refused,3.5.6,logical,Vendor refused to serve you,,
challenges_spending_transport_cost,3.5.7,logical,Transportation cost,,
challenges_spending_no_nearby_market,3.5.8,logical,No accessible nearby market,,
challenges_spending_not_allowed_travel,3.5.9,logical,Not allowed to travel to the market,,
challenges_spending_market_not_accessible,3.5.10,logical,The market is not accessible for certain groups,,
challenges_spending_other,3.5.11,logical,Other,,
challenges_spending_specify_other,3.5.99,character,"Other, please specify?",,
vendor_refused_why,3.6,character,Please specify way you think the vendor refused to serve you?,,
vendor_refused_idp,3.6.1,logical,Because I'm an IDP,,
vendor_refused_female,3.6.2,logical,Because I'm female,,
vendor_refused_pwd,3.6.3,logical,Because I have a disability,,
vendor_refused_minority,3.6.4,logical,Because I belong to a certain religious or ethnic minority,,
vendor_refused_other,3.6.6,logical,Other,,
vendor_refused_specify_other,3.6.99,character,"Other, please specify?",,
market_inaccessible_groups,3.7,character,Please specify for which groups is the market inaccessible?,,
market_inaccessible_idps,3.7.1,logical,IDPs,,
market_inaccessible_females,3.7.2,logical,Females,,
market_inaccessible_children,3.7.3,logical,Children,,
market_inaccessible_pwd,3.7.4,logical,PWDs,,
unmet_need,4.1,character,Does your household have any Urgent needs that remain unmet?,,
unmet_need_fresh_food,4.2.1,logical,"Fresh food (meat, fruit, vegetables, dairy, eggs, bread..etc)",,
unmet_need_dry_food,4.2.2,logical,"Dry/produced food (cereals, canned food,  oil, ghee, sugar, tea.. etc)",,
unmet_need_cooking_fuel,4.2.3,logical,"Fuel for cooking (diesel, wood, gas, pomace etc)",,
unmet_need_heating_fuel,4.2.4,logical,"Fuel for heating (diesel, wood, gas, pomace etc)",,
unmet_need_hh_hygiene_items,4.2.5,logical,"Household & Personal Hygiene items (soap, dishwashing soap, detergents, shampoo, sanitary pads)",,
unmet_need_kitchen_utensils,4.2.6,logical,Kitchen utensils,,
unmet_need_hh_appliances,4.2.7,logical,Household appliances,,
unmet_need_clothes_blankets_bedding,4.2.8,logical,"Clothes, blankets, bedding",,
unmet_need_communication,4.2.9,logical,"Communication (cell phone, internet)",,
unmet_need_debt_repayment,4.2.10,logical,Debt repayment,,
unmet_need_shelter_NFIs_improvement,4.2.11,logical,"Shelter (tents, plastic sheet/tarp, shelter repair/ improvements)",,
unmet_need_rent,4.2.12,logical,Rent,,
unmet_need_transportation,4.2.13,logical,Transportation,,
unmet_need_medical,4.2.14,logical,Medical treatment/Medicine,,
unmet_need_water,4.2.15,logical,Water,,
unmet_need_baby_needs,4.2.16,logical,"Baby needs (baby diapers, baby wipes, baby ointment, etc..)",,
unmet_need_electricity_lighting,4.2.17,logical,"Electricity and lighting (electric bill, solar panels, batteries)",,
unmet_need_education,4.2.18,logical,Education expenses,,
unmet_need_shared_assistance,4.2.20,logical,Shared assistance,,
unmet_need_other,4.2.21,logical,Other,,
unmet_need_specify_other,4.2.99,character,"Other, please specify?",,
improved_living_conditions,4.3,character,To what extent has the cash assistance improved your living conditions?,,
reduced_stress,4.4,character,To what extent has the cash assistance reduced feelings of stress?,,
immediate_needs,4.5,character,To what extent has the cash assistance covered your householdâ€™s immediate needs?,,
exchange_favour,5.1,logical,Were you or anyone you know from your community asked to provide any favour in exchange for this assistance?,,
exchange_favour_list,5.1.1,character,What type of favour was requested?,,
favour_money_selection,5.2.1,logical,Money ahead of selection,,
favour_gift,5.2.2,logical,Gift,,
favour_part_of_assistance,5.2.3,logical,Part of the assistance after receiving it,,
favour_personal_relationship,5.2.4,logical,Personal relationships (physical or emotional),,
favour_prefer_not_to_answer,5.2.5,logical,Prefer not to answer,,
favour_other,5.2.6,logical,Other type of favor,,
favour_specify_other,5.2.99,character,"Other, please specify?",,
fee_tax_assistance,5.3,character,Were you asked to provide this money as a fee or a tax before or after receiving the assistance?,,
favour_who_family_in_hh,5.4.1,logical,Another household member,,
favour_who_family_out_hh,5.4.2,logical,Another household member,,
favour_who_shopkeeper,5.4.3,logical,Shopkeeper,,
favour_who_bank_fsp,5.4.4,logical,Bank/FSP agent,,
favour_who_camp_elders,5.4.5,logical,Camp elders,,
favour_who_camp_managers,5.4.6,logical,Camp managers,,
favour_who_local_council,5.4.7,logical,Local Council,,
favour_who_community_leader,5.4.8,logical,Community leaders,,
favour_who_armed_group_powerholder,5.4.9,logical,Armed group/Powerholder in the area,,
favour_who_ngo_staff,5.4.10,logical,NGO Staff,,
favour_who_dont_want_to_answer,5.4.11,logical,Don't want to answer,,
favour_who_other,5.4.12,logical,Other,,
favour_who_specify_other,5.4.99,character,"Other, please specify?",,
no_favour_denied_assistance,5.5,character,Would you be denied the assistance if you refused to provide the favour(s)?,,
aware_hotline_feedback_mechanism,5.6,logical,Are you aware of the hotline or complaints/feedback mechanism of the organization or the PSEA interagency?,,
did_you_report,5.6.1,character,Did you or any other member you know from your community report this experience to any existing complaint mechanism (such as an organization complaint reporting hotline or the PSEA interagency hotline)?,,
share_assistance,5.7,character,Did anyone ask you to share the assistance you received?,,
share_assistance_who,5.8,character,Who asked you to share the assistance you received?,,
share_who_family_in_hh,5.8.1,logical,Another household member,,
share_who_family_out_hh,5.8.2,logical,Another family member (outside the household),,
share_who_bank_fsp,5.8.4,logical,Bank/FSP agent,,
share_who_camp_elders,5.8.5,logical,Camp elders,,
share_who_camp_managers,5.8.6,logical,Camp managers,,
share_who_local_council,5.8.7,logical,Local Council,,
share_who_community_leader,5.8.8,logical,Community leaders,,
share_who_armed_group_powerholder,5.8.9,logical,Armed group/Powerholder in the area,,
share_who_ngo_staff,5.8.10,logical,NGO Staff,,
share_who_dont_want_to_answer,5.8.11,logical,Don't want to answer,,
share_who_other,5.8.12,logical,Other,,
share_who_specify_other,5.8.99,character,"Other, please specify?",,
impact_on_safety,5.9,character,What impact has the assistance had on your sense of safety in your daily life?,,
tensions_family_community,5.1,character,Was there any tensions in the family and/or community as a result of receiving the cash assistance?,,
tensions_hh_how_spend,5.11.1,logical,Our household had a disagreement on how the money should be spent,,
tensions_who_spend,5.11.2,logical,Our household had a disagreement on who should spend the money,,
tensions_neighbour_ineligible,5.11.3,logical,My neighbor isn't eligible for cash assistance,,
tensions_different_amounts,5.11.,logical,Our family received more/less than our neighbor,,
tensions_family_size,5.11.4,logical,"Our family got the same amount as our neighbor, but we're a smaller/larger family (my family got relatively enough/inadequate help)",,
tensions_discrimination,5.11.5,logical,My family faced discrimination because we had cash assistance,,
tensions_no_small_banknotes,5.11.6,logical,Our family had to share the value we received with other families because the distributor had no specific banknotes,,
tensions_other,5.11.7,logical,Other,,
tensions_specify_other,5.11.99,logical,"Other, please specify?",,
anything_else,5.12,character,Do you have anything else to add?,,
